stage,step,tau,sigma_tau,mse_x1,task,image,method
0,3,0.333,0.9167500000000001,0.31194406747817993,box_inpainting,ibex_horns,alg2
0,4,0.444,0.889,0.31883567571640015,box_inpainting,ibex_horns,alg2
0,5,0.555,0.86125,0.339290589094162,box_inpainting,ibex_horns,alg2
0,6,0.666,0.8335,0.3483504056930542,box_inpainting,ibex_horns,alg2
0,7,0.777,0.80575,0.3851313591003418,box_inpainting,ibex_horns,alg2
0,8,0.888,0.778,0.424048513174057,box_inpainting,ibex_horns,alg2
0,9,0.999,0.75025,0.4532010555267334,box_inpainting,ibex_horns,alg2
1,0,0.0,0.8571428571428572,2.958439350128174,box_inpainting,ibex_horns,alg2
1,1,0.111,0.8175000000000001,2.5463175773620605,box_inpainting,ibex_horns,alg2
1,2,0.222,0.7778571428571429,2.0424866676330566,box_inpainting,ibex_horns,alg2
1,3,0.333,0.7382142857142858,1.7435239553451538,box_inpainting,ibex_horns,alg2
1,4,0.444,0.6985714285714286,1.563920021057129,box_inpainting,ibex_horns,alg2
1,5,0.555,0.6589285714285714,1.4426336288452148,box_inpainting,ibex_horns,alg2
1,6,0.666,0.6192857142857142,1.1528780460357666,box_inpainting,ibex_horns,alg2
1,7,0.777,0.5796428571428571,0.9933790564537048,box_inpainting,ibex_horns,alg2
1,8,0.888,0.54,0.8281363248825073,box_inpainting,ibex_horns,alg2
1,9,0.999,0.5003571428571428,0.7560264468193054,box_inpainting,ibex_horns,alg2
2,0,0.0,0.6666666666666667,0.9905056953430176,box_inpainting,ibex_horns,alg2
2,1,0.111,0.6204166666666668,9.243125915527344,box_inpainting,ibex_horns,alg2
2,2,0.222,0.5741666666666667,6.709859848022461,box_inpainting,ibex_horns,alg2
2,3,0.333,0.5279166666666668,3.582477331161499,box_inpainting,ibex_horns,alg2
2,4,0.444,0.48166666666666674,1.9768542051315308,box_inpainting,ibex_horns,alg2
2,5,0.555,0.4354166666666667,1.1393213272094727,box_inpainting,ibex_horns,alg2
2,6,0.666,0.38916666666666666,0.7313317656517029,box_inpainting,ibex_horns,alg2
2,7,0.777,0.34291666666666665,0.5126339793205261,box_inpainting,ibex_horns,alg2
2,8,0.888,0.2966666666666667,0.38367360830307007,box_inpainting,ibex_horns,alg2
2,9,0.999,0.2504166666666667,0.3100237250328064,box_inpainting,ibex_horns,alg2
3,0,0.0,0.3999999999999999,0.48724669218063354,box_inpainting,ibex_horns,alg2
3,1,0.111,0.3555999999999999,0.41858288645744324,box_inpainting,ibex_horns,alg2
3,2,0.222,0.3111999999999999,0.3646305799484253,box_inpainting,ibex_horns,alg2
3,3,0.333,0.2668,0.3258022964000702,box_inpainting,ibex_horns,alg2
3,4,0.444,0.22239999999999996,0.30201172828674316,box_inpainting,ibex_horns,alg2
3,5,0.555,0.17799999999999994,0.28714972734451294,box_inpainting,ibex_horns,alg2
3,6,0.666,0.13359999999999997,0.27949684858322144,box_inpainting,ibex_horns,alg2
3,7,0.777,0.08919999999999997,0.2751195430755615,box_inpainting,ibex_horns,alg2
3,8,0.888,0.044799999999999986,0.27404317259788513,box_inpainting,ibex_horns,alg2
3,9,0.999,0.0004000000000000003,0.27404317259788513,box_inpainting,ibex_horns,alg2
0,0,0.0,nan,1.8954057693481445,box_inpainting,junco,wls
0,1,0.111,nan,2.563755512237549,box_inpainting,junco,wls
0,2,0.222,nan,4.196162700653076,box_inpainting,junco,wls
0,3,0.333,nan,7.874810695648193,box_inpainting,junco,wls
0,4,0.444,nan,24.169044494628906,box_inpainting,junco,wls
0,5,0.555,nan,112.59398651123047,box_inpainting,junco,wls
