image,stage,step,task,tau,T,e_k,gamma2_meas,mse_alg2,mse_alg2_miss,mse_alg2_obs,mse_model,mse_model_miss,mse_model_obs,mse_wls,mse_wls_miss,mse_wls_obs,resolution,s_k,score_err,score_err_g2,sigma_tau
ibex_horns,0,2,gaussian_blur,0.222,38.85,0.25,0.01062399335205555,0.029209589585661888,,,0.14829909801483154,,,7.488616466522217,,,32,0.0,0.0005120595451444387,0.0005125523312017322,0.9445
junco,0,2,gaussian_blur,0.222,38.85,0.25,0.01062399335205555,0.011336011812090874,,,0.04411229491233826,,,7.387023448944092,,,32,0.0,0.0001523146202089265,0.00015325727872550488,0.9445
lakeside_beach,0,2,gaussian_blur,0.222,38.85,0.25,0.01062399335205555,0.0024070823565125465,,,0.11102434247732162,,,7.929286003112793,,,32,0.0,0.0003833541995845735,0.00038444832898676395,0.9445
sea_anemone,0,2,gaussian_blur,0.222,38.85,0.25,0.01062399335205555,0.006403812672942877,,,0.18697893619537354,,,7.885069847106934,,,32,0.0,0.0006456167320720851,0.0006453432142734528,0.9445
shetland_sheepdog,0,2,gaussian_blur,0.222,38.85,0.25,0.01062399335205555,0.00836733914911747,,,0.124564528465271,,,8.029667854309082,,,32,0.0,0.0004301068256609142,0.00043076503789052367,0.9445
breastplate_armor,0,2,motion_blur,0.222,38.85,0.25,0.01062399335205555,0.028877323493361473,,,0.11040721833705902,,,7.682374000549316,,,32,0.0,0.0003812233335338533,0.00038089638110250235,0.9445
crane_structure,0,2,motion_blur,0.222,38.85,0.25,0.01062399335205555,0.07728005200624466,,,0.3360884189605713,,,8.190692901611328,,,32,0.0,0.0011604743776842952,0.0011610991787165403,0.9445
ibex_horns,0,2,motion_blur,0.222,38.85,0.25,0.01062399335205555,0.1061885803937912,,,0.14829909801483154,,,7.488616466522217,,,32,0.0,0.0005120595451444387,0.0005125523312017322,0.9445
junco,0,2,motion_blur,0.222,38.85,0.25,0.01062399335205555,0.05000749230384827,,,0.04411229491233826,,,7.387023448944092,,,32,0.0,0.0001523146202089265,0.00015325727872550488,0.9445
lakeside_beach,0,2,motion_blur,0.222,38.85,0.25,0.01062399335205555,0.02027636393904686,,,0.11102434247732162,,,7.929286003112793,,,32,0.0,0.0003833541995845735,0.00038444832898676395,0.9445
sea_anemone,0,2,motion_blur,0.222,38.85,0.25,0.01062399335205555,0.026183277368545532,,,0.18697893619537354,,,7.885069847106934,,,32,0.0,0.0006456167320720851,0.0006453432142734528,0.9445
