task,image,stage,step,tau,T,sigma_tau,s_k,e_k,resolution,mse_wls,mse_model
box_inpainting,junco,1,7,0.777,370.02700000000004,0.5796428571428571,0.14285714285714285,0.5,64,1.0534703731536865,0.02121042273938656
box_inpainting,lakeside_beach,1,7,0.777,370.02700000000004,0.5796428571428571,0.14285714285714285,0.5,64,1.0516029596328735,0.00947587750852108
box_inpainting,sea_anemone,1,7,0.777,370.02700000000004,0.5796428571428571,0.14285714285714285,0.5,64,1.0676772594451904,0.023842856287956238
box_inpainting,shetland_sheepdog,1,7,0.777,370.02700000000004,0.5796428571428571,0.14285714285714285,0.5,64,1.0402121543884277,0.021492820233106613
box_inpainting,breastplate_armor,1,8,0.888,397.88800000000003,0.54,0.14285714285714285,0.5,64,1.0724656581878662,0.013356922194361687
box_inpainting,crane_structure,1,8,0.888,397.88800000000003,0.54,0.14285714285714285,0.5,64,1.0582298040390015,0.02971784397959709
box_inpainting,ibex_horns,1,8,0.888,397.88800000000003,0.54,0.14285714285714285,0.5,64,1.0656442642211914,0.04167955368757248
box_inpainting,junco,1,8,0.888,397.88800000000003,0.54,0.14285714285714285,0.5,64,1.0477092266082764,0.018151618540287018
box_inpainting,lakeside_beach,1,8,0.888,397.88800000000003,0.54,0.14285714285714285,0.5,64,1.0482202768325806,0.008455267176032066
box_inpainting,sea_anemone,1,8,0.888,397.88800000000003,0.54,0.14285714285714285,0.5,64,1.0600144863128662,0.01987377181649208
box_inpainting,shetland_sheepdog,1,8,0.888,397.88800000000003,0.54,0.14285714285714285,0.5,64,1.0350911617279053,0.01854960434138775
box_inpainting,breastplate_armor,1,9,0.999,425.749,0.5003571428571428,0.14285714285714285,0.5,64,1.067427396774292,0.011396966874599457
box_inpainting,crane_structure,1,9,0.999,425.749,0.5003571428571428,0.14285714285714285,0.5,64,1.0504344701766968,0.025158410891890526
box_inpainting,ibex_horns,1,9,0.999,425.749,0.5003571428571428,0.14285714285714285,0.5,64,1.0525989532470703,0.03513813391327858
box_inpainting,junco,1,9,0.999,425.749,0.5003571428571428,0.14285714285714285,0.5,64,1.0424984693527222,0.013772009871900082
box_inpainting,lakeside_beach,1,9,0.999,425.749,0.5003571428571428,0.14285714285714285,0.5,64,1.0452954769134521,0.007547101937234402
box_inpainting,sea_anemone,1,9,0.999,425.749,0.5003571428571428,0.14285714285714285,0.5,64,1.05266273021698,0.017290262505412102
box_inpainting,shetland_sheepdog,1,9,0.999,425.749,0.5003571428571428,0.14285714285714285,0.5,64,1.0303378105163574,0.016003184020519257
box_inpainting,breastplate_armor,2,0,0.0,426.0,0.6666666666666667,0.3333333333333333,0.75,128,0.13834114372730255,0.019854510203003883
box_inpainting,crane_structure,2,0,0.0,426.0,0.6666666666666667,0.3333333333333333,0.75,128,0.1649666726589203,0.04571788012981415
box_inpainting,ibex_horns,2,0,0.0,426.0,0.6666666666666667,0.3333333333333333,0.75,128,0.1629515290260315,0.046352580189704895
box_inpainting,junco,2,0,0.0,426.0,0.6666666666666667,0.3333333333333333,0.75,128,0.14362937211990356,0.022843440994620323
box_inpainting,lakeside_beach,2,0,0.0,426.0,0.6666666666666667,0.3333333333333333,0.75,128,0.1263940930366516,0.00852771382778883
box_inpainting,sea_anemone,2,0,0.0,426.0,0.6666666666666667,0.3333333333333333,0.75,128,0.13852669298648834,0.020011618733406067
box_inpainting,shetland_sheepdog,2,0,0.0,426.0,0.6666666666666667,0.3333333333333333,0.75,128,0.13627097010612488,0.020644959062337875
box_inpainting,breastplate_armor,2,1,0.111,458.523,0.6204166666666668,0.3333333333333333,0.75,128,0.13592521846294403,0.01800214871764183
box_inpainting,crane_structure,2,1,0.111,458.523,0.6204166666666668,0.3333333333333333,0.75,128,0.15724429488182068,0.04020555317401886
box_inpainting,ibex_horns,2,1,0.111,458.523,0.6204166666666668,0.3333333333333333,0.75,128,0.15532582998275757,0.039630185812711716
box_inpainting,junco,2,1,0.111,458.523,0.6204166666666668,0.3333333333333333,0.75,128,0.13571196794509888,0.015642626211047173
box_inpainting,lakeside_beach,2,1,0.111,458.523,0.6204166666666668,0.3333333333333333,0.75,128,0.12625935673713684,0.007832556031644344
box_inpainting,sea_anemone,2,1,0.111,458.523,0.6204166666666668,0.3333333333333333,0.75,128,0.1369848996400833,0.017138686031103134
box_inpainting,shetland_sheepdog,2,1,0.111,458.523,0.6204166666666668,0.3333333333333333,0.75,128,0.133995920419693,0.017165889963507652
box_inpainting,breastplate_armor,2,2,0.222,491.046,0.5741666666666667,0.3333333333333333,0.75,128,0.13397543132305145,0.016539661213755608
box_inpainting,crane_structure,2,2,0.222,491.046,0.5741666666666667,0.3333333333333333,0.75,128,0.15138950943946838,0.03439756855368614
